72.21.196.65,38,2-5 times a month,4,4,4,5,4,3
100.35.108.12,44,<1 time a month,4,4,5,5,1,4
174.241.132.76,46,5+ times a month,5,5,,5,4,5
183.83.137.201,56,5+ times a month,1,3,,3,,
100.35.108.12,37,2-5 times a month,4,5,5,4,3,5
115.99.172.152,62,5+ times a month,4,4,4,4,4,3
162.83.178.107,40,2-5 times a month,4,5,5,3,5,5
157.34.81.38,84,<1 time a month,,,4,,,4
106.198.172.233,64,,4,5,1,4,1,4
50.200.142.50,57,2-5 times a month,4,4,,,,
45.124.146.23,88,2-5 times a month,4,4,,,,4
49.35.84.179,83,1 time a month,,,,,,
157.34.99.133,117,2-5 times a month,5,3,,,,
91.73.122.28,86,2-5 times a month,4,5,5,5,,
173.70.126.249,44,2-5 times a month,4,5,,,,
131.55.328.12,47,2-5 times a month,5,5,3,4,4,4
106.206.55.85,57,5+ times a month,3,4,,,3,4
223.229.184.53,90,5+ times a month,,,3,4,3,
